Peter Van Loan;http://www.conservative.ca/team/member/?fname=Peter&lname=Loan&type=mps
Maxime Bernier;http://www.conservative.ca/team/member/?fname=Maxime&lname=Bernier&type=mps
Sylvie Boucher;http://www.conservative.ca/team/member/?fname=Sylvie&lname=Boucher&type=mps
Alupa Clarke;http://www.conservative.ca/team/member/?fname=Alupa&lname=Clarke&type=mps
Steven Blaney;http://www.conservative.ca/team/member/?fname=Steven&lname=Blaney&type=mps
Pierre-Paul Hus;http://www.conservative.ca/team/member/?fname=Pierre-Paul&lname=Hus&type=mps
Denis Lebel;http://www.conservative.ca/team/member/?fname=Denis&lname=Lebel&type=mps
Jacques Gourde;http://www.conservative.ca/team/member/?fname=Jacques&lname=Gourde&type=mps
Gerard Deltell;http://www.conservative.ca/team/member/?fname=Gerard&lname=Deltell&type=mps
Luc Berthold;http://www.conservative.ca/team/member/?fname=Luc&lname=Berthold&type=mps
Bernard Généreux;http://www.conservative.ca/team/member/?fname=Bernard&lname=Genereux&type=mps
Joël Godin;http://www.conservative.ca/team/member/?fname=Joel&lname=Godin&type=mps
Alain Rayes;http://www.conservative.ca/team/member/?fname=Alain&lname=Rayes&type=mps
Gerry Ritz;http://www.conservative.ca/team/member/?fname=Gerry&lname=Ritz&type=mps
Kelly Block;http://www.conservative.ca/team/member/?fname=Kelly&lname=Block&type=mps
Tom Lukiwski;http://www.conservative.ca/team/member/?fname=Tom&lname=Lukiwski&type=mps
Randy Hoback;http://www.conservative.ca/team/member/?fname=Randy&lname=Hoback&type=mps
Andrew Scheer;http://www.conservative.ca/team/member/?fname=Andrew&lname=Scheer&type=mps
Kevin Waugh;http://www.conservative.ca/team/member/?fname=Kevin&lname=Waugh&type=mps
Brad Trost;http://www.conservative.ca/team/member/?fname=Brad&lname=Trost&type=mps
